Thương hiệu,Dòng xe,Loại xe,Xuất xứ,Khoảng giá min,Khoảng giá max,Năm đăng ký,Số Km đã đi,Giá
13,28,1,7,7.45,8.74,2013,500000,5.5
9,13,2,5,6.24,7.32,2017,40000,8.5
8,53,1,6,10.54,12.37,2012,39000,13.8
13,28,1,7,10.11,11.87,2014,40000,6.5
13,26,1,6,5.41,6.35,2009,40000,10.5
14,15,1,7,4.23,4.97,2012,39990,4.5
8,2,1,2,12.59,14.78,2010,22000,10.8
8,11,2,6,10.41,12.22,2005,58000,18.5
8,54,2,3,7.94,9.32,2014,10,6.9
9,13,1,6,7.36,8.64,2024,1000,14.0
8,8,2,4,11.13,13.07,2024,1000,12.5
8,19,2,2,14.74,17.3,2017,3,15.0
14,13,0,6,10.26,12.04,2010,99999,14.0
9,13,1,7,4.55,5.34,2015,0,9.0
8,27,1,2,15.38,18.06,2015,27000,17.2
8,2,1,7,10.02,11.76,2011,37000,15.6
8,9,1,7,43.42,50.97,2015,1000,15.0
8,27,1,7,7.98,9.37,2012,25000,12.6
11,13,1,8,15.01,17.62,2021,380000,9.5
17,33,1,2,6.14,7.21,2013,36363,6.9
8,42,1,6,75.76,88.93,2024,5000,82.0
13,52,1,3,8.59,10.08,2012,4500,24.0
8,54,2,5,6.87,8.06,2012,12000,3.5
15,20,0,6,22.89,26.87,2023,50000,23.8
8,13,2,6,19.34,22.71,2017,131794,13.0
8,42,1,7,98.4,115.51,2010,43880,138.0
8,13,1,2,33.65,39.5,2019,44199,14.0
10,13,2,8,4.6,5.4,2004,0,5.0
8,57,0,7,24.75,29.06,2023,33000,23.5
17,16,2,6,42.81,50.25,2006,57000,55.0
13,52,0,3,18.63,21.87,2005,20000,14.5
8,30,0,4,22.83,26.8,2019,10000,27.0
8,6,0,7,19.09,22.41,1998,99999,19.0
14,13,2,0,3.88,4.55,2005,10000,4.5
13,52,1,6,8.59,10.08,2012,50000,10.5
8,42,1,6,74.57,87.54,2022,25347,75.0
14,13,1,6,3.89,4.57,2010,422560,8.0
13,52,1,6,43.05,50.54,2022,268888,105.0
17,16,0,6,16.16,18.97,2015,60000,15.0
17,16,0,7,16.16,18.97,2015,60000,15.0
8,51,1,3,32.95,38.68,2022,20000,43.8
8,2,1,6,7.62,8.94,2008,30000,9.3
17,13,1,6,20.7,24.3,2022,0,22.5
17,16,2,6,13.86,16.27,2014,41000,23.0
8,42,1,7,39.18,45.99,2015,40000,50.0
17,24,1,2,13.85,16.26,2018,43000,13.5
8,2,1,2,10.02,11.76,2011,600000,14.5
17,46,2,6,6.23,7.31,2011,20000,4.5
8,54,2,2,16.31,19.14,2024,1000,19.0
8,36,1,4,16.42,19.28,2012,50,20.0
8,2,1,6,15.19,17.83,2014,100496,16.0
8,42,1,6,62.76,73.68,2019,28896,55.0
13,52,1,6,8.59,10.08,2012,35517,12.5
8,53,1,6,26.31,30.89,2022,15000,29.0
17,46,2,6,6.97,8.19,2015,57947,10.0
13,28,1,3,9.79,11.49,2015,35350,16.0
8,2,1,6,7.62,8.94,2008,51000,8.5
15,40,0,6,22.42,26.32,2022,230000,23.0
8,27,1,2,27.9,32.76,2021,32000,28.0
15,44,0,3,19.33,22.69,2018,39000,21.0
8,51,1,7,30.13,35.37,2019,45000,40.0
8,27,1,6,6.68,7.84,2010,500000,13.0
8,42,1,7,73.25,85.99,2023,14000,115.0
8,51,1,3,50.14,58.86,2017,500000,55.0
8,19,2,2,25.66,30.12,2010,22000,25.5
17,33,1,2,3.58,4.2,2009,8888,2.5
8,38,1,6,18.73,21.98,2007,55000,25.5
8,53,1,6,16.92,19.86,2017,350000,18.0
8,2,1,6,7.62,8.94,2008,50000,8.0
8,53,1,6,26.31,30.89,2022,15000,31.5
13,52,1,6,59.58,69.94,2023,6000,69.0
8,42,1,6,75.76,88.93,2024,5000,89.5
17,16,0,6,14.62,17.16,2016,9999,25.0
13,52,1,7,43.1,50.6,2020,5000,60.0
8,43,1,6,27.41,32.18,2015,22000,16.0
8,54,2,2,6.93,8.14,2006,60000,5.5
13,28,1,6,14.98,17.58,2016,43000,18.5
14,3,1,0,7.55,8.86,2016,30000,7.8
8,42,1,3,101.46,119.11,2012,12000,210.0
17,35,1,7,19.42,22.8,2017,35000,13.2
9,13,2,6,10.63,12.48,2022,200,7.5
9,13,1,5,6.9,8.1,2020,999999,1.0
8,42,1,3,111.87,131.33,2011,20000,181.5
8,53,1,6,16.88,19.81,2016,60000,16.9
8,2,1,6,29.93,35.13,2020,10000,32.5
8,57,0,6,16.51,19.38,2019,27000,20.0
13,52,1,6,59.58,69.94,2023,6000,72.0
8,54,2,6,6.93,8.14,2006,49,13.0
17,35,1,7,19.64,23.05,2018,10000,21.99
8,56,0,6,14.57,17.1,2018,39999,14.5
8,56,0,7,14.57,17.1,2018,50000,14.5
8,2,1,6,8.99,10.56,2012,100000,8.0
8,42,1,6,111.87,131.33,2011,14000,105.0
17,32,2,4,6.09,7.15,2007,8888,2.0
8,53,1,6,12.15,14.27,2014,50000,10.0
13,28,1,3,6.66,7.82,2011,28668,9.5
17,33,1,7,5.1,5.98,2012,100,3.5
8,13,0,5,11.7,13.74,1980,0,8.0
8,27,1,6,5.81,6.82,2008,44488,4.5
8,2,1,7,8.99,10.56,2012,50000,8.0
8,27,1,6,15.38,18.06,2015,25000,16.0
9,13,2,0,4.21,4.94,2007,8888,3.0
17,24,1,3,14.02,16.46,2020,0,13.5
8,19,2,6,27.04,31.74,2008,100000,29.0
8,54,2,6,11.67,13.71,2020,40000,15.5
8,53,1,6,16.88,19.81,2016,22330,17.999999
8,13,1,7,10.12,11.88,2012,50000,1.234567
17,13,0,6,26.44,31.04,2019,14500,28.0
8,54,2,7,9.73,11.42,2016,100000,10.0
17,35,1,7,19.64,23.05,2018,15000,21.0
8,54,2,6,6.93,8.14,2006,50000,13.5
8,53,1,6,24.45,28.7,2021,31000,26.5
14,15,1,6,3.96,4.65,2011,12345,4.0
8,36,1,6,22.82,26.79,2014,55000,28.0
8,2,1,6,13.83,16.24,2013,66000,18.0
14,13,2,6,7.4,8.69,2018,46000,8.0
8,56,0,7,13.38,15.71,2017,700000,12.0
8,54,2,2,6.93,8.14,2006,8888,6.5
